"","Var1","Freq"
"1090","Novotel London Tower Bridge",389
"672","Hotel Kaiserin Elisabeth",388
"318","Eurostars Cristal Palace",385
"561","Hotel 55",385
"1445","UNA Hotel Century",385
"1280","St Ermin s Hotel Autograph Collection",384
"769","Hotel Saint Petersbourg Opera",383
"366","Gran Hotel Torre Catalunya",382
"490","H10 Cubik 4 Sup",382
"1314","The Ampersand Hotel",382
"24","Acta CITY47",381
"1287","St Paul s Hotel",381
"546","Holiday Inn London Whitechapel",377
"140","Best Western Madison Hotel",376
"406","H tel Bedford",376
"812","Hotel Well and Come",375
"171","Best Western Seraphine Kensington Olympia",374
"61","Apollofirst Boutique Hotel",372
"322","Eurostars Ramblas",372
"475","H tel Regina",372
"382","Grange Clarendon Hotel",369
"1114","Ohla Barcelona",367
"71","Art Hotel Navigli",366
"176","Bilderberg Hotel Jan Luyken",366
"386","Grange Rochester Hotel",364
"598","Hotel Cafe Royal",364
"1410","The Trafalgar Hilton",363
"423","H tel de la Bourdonnais",362
"503","Hampton by Hilton Amsterdam Centre East",362
"384","Grange Holborn Hotel",361
"1142","Park Inn by Radisson Uno City Vienna",361
"604","Hotel Casa Bonay",360
"495","H10 Port Vell 4 Sup",359
"244","Conrad London St James",358
"622","Hotel Das Tigra",358
"742","Hotel Palace GL",357
"778","Hotel Serhs Rivoli Rambla",357
"624","Hotel De Hallen",355
"1364","The Levante Parliament A Design Hotel",355
"1197","Rathbone",354
"109","Banks Mansion All Inclusive Hotel",353
"664","Hotel Indigo London Kensington",353
"22","Acevi Villarroel",352
"1272","Sofitel London St James",352
"327","Exe Vienna",351
"255","Courtyard by Marriott Amsterdam Arena Atlas",347
"666","Hotel Indigo London Tower Hill",346
"1196","Ramada Plaza Milano",346
"116","Batty Langley s",345
"1472","Vincci Maritimo",343
"221","Chiswick Rooms",342
"1161","Petit Palace Museum",341
"396","Grupotel Gran Via 678",340
"88","Austria Trend Hotel Doppio Wien",339
"704","Hotel Mailberger Hof",338
"759","Hotel Rathaus Wein Design",338
"638","Hotel du Collectionneur Arc de Triomphe",337
